raceId,driverId,constructorId,grid,laps,top3
29,5,1,5,57,0
29,15,7,7,57,0
29,20,5,6,57,0
29,10,7,13,57,0
29,3,3,9,57,0
29,2,2,8,57,0
29,7,5,10,57,0
29,12,4,15,57,0
29,17,9,14,56,0
29,18,11,16,56,0
29,21,10,18,56,0
29,6,3,11,56,0
29,22,11,19,56,0
29,14,9,17,56,0
29,8,6,4,45,0
29,16,10,20,41,0
29,4,4,12,0,0
30,13,6,2,44,1
30,2,2,5,44,1
30,1,1,1,44,1
30,4,4,6,44,0
30,20,5,10,44,0
30,9,2,8,44,0
30,7,5,9,44,0
30,17,9,7,44,0
30,10,7,13,44,0
30,5,1,3,43,0
30,14,9,14,43,0
30,3,3,15,43,0
30,16,10,18,43,0
30,6,3,19,43,0
30,18,11,17,43,0
30,15,7,11,43,0
30,21,10,20,43,0
30,8,6,4,42,0
30,22,11,16,19,0
30,12,4,12,13,0
31,20,5,1,53,1
31,5,1,2,53,1
31,9,2,11,53,1
31,4,4,8,53,0
31,2,2,10,53,0
31,13,6,6,53,0
31,1,1,15,53,0
31,17,9,3,53,0
31,8,6,14,53,0
31,12,4,17,53,0
31,10,7,9,53,0
31,6,3,18,53,0
31,15,7,7,53,0
31,3,3,5,53,0
31,18,11,19,53,0
31,14,9,13,52,0
31,22,11,16,52,0
31,7,5,4,52,0
31,16,10,20,51,0
31,21,10,12,11,0
32,4,4,15,61,1
32,3,3,8,61,1
32,1,1,2,61,1
32,10,7,7,61,0
32,20,5,6,61,0
32,2,2,9,61,0
32,14,9,14,61,0
32,6,3,10,61,0
32,18,11,12,61,0
32,5,1,5,61,0
32,9,2,4,61,0
32,7,5,17,61,0
32,13,6,1,61,0
32,21,10,20,61,0
32,8,6,3,57,0
32,15,7,11,50,0
32,16,10,19,49,0
32,17,9,13,29,0
32,22,11,18,14,0
32,12,4,16,13,0
33,4,4,4,67,1
33,9,2,6,67,1
33,8,6,2,67,1
33,12,4,12,67,0
33,15,7,7,67,0
33,20,5,9,67,0
33,13,6,5,67,0
33,17,9,13,67,0
33,2,2,16,67,0
33,7,5,10,67,0
33,3,3,15,67,0
33,1,1,1,67,0
33,22,11,17,66,0
33,18,11,18,66,0
33,6,3,14,66,0
33,21,10,20,21,0
33,5,1,3,16,0
33,16,10,19,8,0
33,10,7,8,6,0
33,14,9,11,0,0
34,1,1,1,56,1
34,13,6,3,56,1
34,8,6,2,56,1
34,4,4,4,56,0
34,2,2,9,56,0
34,9,2,11,56,0
34,10,7,12,56,0
34,12,4,10,56,0
34,20,5,6,56,0
34,14,9,15,56,0
34,22,11,13,56,0
34,6,3,17,56,0
34,7,5,8,56,0
34,17,9,16,56,0
34,3,3,14,55,0
34,18,11,18,55,0
34,21,10,20,55,0
34,5,1,5,49,0
34,16,10,19,13,0
34,15,7,7,2,0
35,13,6,1,71,1
35,4,4,6,71,1
35,8,6,3,71,1
35,20,5,7,71,0
35,1,1,4,71,0
35,10,7,10,71,0
35,5,1,5,71,0
35,15,7,2,71,0
35,17,9,12,71,0
35,2,2,8,70,0
35,9,2,13,70,0
35,3,3,18,70,0
35,18,11,17,70,0
35,7,5,9,70,0
35,22,11,15,70,0
35,16,10,20,69,0
35,6,3,16,69,0
35,21,10,19,69,0
35,12,4,11,0,0
35,14,9,14,0,0
36,8,6,1,58,1
36,4,1,2,58,1
36,1,1,4,58,1
36,2,2,3,58,0
36,21,4,6,58,0
36,13,6,22,58,0
36,3,3,12,57,0
36,23,7,9,57,0
36,15,7,8,57,0
36,5,4,13,57,0
36,22,11,16,57,0
36,11,8,10,57,0
36,17,9,7,57,0
36,24,5,19,57,0
36,18,11,14,57,0
36,19,8,11,56,0
36,16,12,20,56,0
36,25,3,15,48,0
36,14,9,18,48,0
36,9,2,5,36,0
36,26,5,17,28,0
36,27,12,21,10,0
37,4,1,2,56,1
37,1,1,4,56,1
37,8,6,3,56,1
37,2,2,5,56,0
37,13,6,1,56,0
37,21,4,12,56,0
37,15,7,8,56,0
37,5,4,11,56,0
37,25,3,19,56,0
37,17,9,10,56,0
37,22,11,22,55,0
37,18,11,15,55,0
37,11,8,14,55,0
37,26,5,17,55,0
37,23,7,9,55,0
37,19,8,18,55,0
37,24,5,16,55,0
37,9,2,7,55,0
37,3,3,6,42,0
37,14,9,13,36,0
37,27,12,20,7,0
37,16,12,21,0,0
38,13,6,1,57,1
38,1,1,2,57,1
38,8,6,3,57,1
38,2,2,5,57,0
38,4,1,4,57,0
38,9,2,6,57,0
38,15,7,9,57,0
38,21,4,7,57,0
38,5,4,12,57,0
38,3,3,10,57,0
38,25,3,11,56,0
38,23,7,14,56,0
38,22,11,15,56,0
38,27,12,22,55,0
38,16,12,20,53,0
38,19,8,13,51,0
38,17,9,8,41,0
38,14,9,21,36,0
38,11,8,17,34,0
38,24,5,18,26,0
38,18,11,16,0,0
38,26,5,19,0,0
39,13,6,1,65,1
39,1,1,4,65,1
39,4,1,2,65,1
39,9,2,5,65,0
39,14,9,9,65,0
39,3,3,11,65,0
39,5,4,8,65,0
39,11,8,13,64,0
39,21,4,10,64,0
39,22,11,12,64,0
39,19,8,15,64,0
39,18,11,14,64,0
