team1,team2,venue,toss_winner,toss_decision,winner
13,11,23,11,0,11
8,2,55,2,1,2
11,1,46,1,0,11
13,9,23,9,0,13
10,6,40,10,0,6
2,1,16,1,0,2
0,9,27,9,1,0
10,13,40,13,1,13
0,11,27,11,0,0
2,9,16,2,1,9
8,10,55,8,0,10
1,6,2,6,1,6
11,13,46,11,1,13
9,2,52,9,0,2
10,8,40,10,0,8
9,1,52,1,0,1
2,8,16,8,1,2
0,10,27,10,0,10
6,13,14,6,0,6
2,11,16,2,0,2
8,1,55,8,1,8
0,6,27,0,0,6
1,9,2,1,0,1
11,2,46,11,0,2
13,10,23,10,1,10
9,8,52,8,0,8
0,1,27,0,0,0
6,9,14,6,0,6
10,11,40,11,0,11
8,0,55,8,1,8
13,1,23,13,1,13
2,6,16,2,0,6
9,11,52,9,0,11
1,10,42,1,1,10
8,13,55,13,1,13
1,2,42,1,0,2
11,0,46,0,1,0
9,13,52,9,1,13
6,8,14,8,0,8
0,2,27,0,1,0
11,9,46,11,0,11
10,1,40,1,0,10
13,8,23,8,1,8
6,0,14,0,1,0
2,10,16,10,0,2
8,6,55,8,1,6
10,0,18,10,1,10
2,13,16,2,1,13
1,11,42,11,0,1
10,2,18,2,1,2
9,6,52,6,0,6
1,13,42,13,1,1
11,8,46,11,0,8
2,6,52,6,0,6
0,8,23,8,1,0
2,0,27,2,1,0
6,0,27,0,0,6
6,2,14,6,1,6
13,8,23,8,1,13
14,9,42,9,1,14
2,11,16,11,0,11
0,8,27,8,0,8
9,10,52,9,0,10
14,13,42,13,0,14
11,6,46,6,1,11
8,2,55,8,0,8
13,14,23,14,0,13
10,0,40,0,1,0
13,6,23,13,1,13
9,11,52,11,0,9
2,14,16,2,0,14
8,9,55,8,0,8
0,13,27,0,1,0
6,14,14,6,0,6
11,10,46,11,1,11
0,9,27,9,0,9
10,6,40,6,1,10
13,2,23,13,1,13
9,14,30,9,1,14
11,8,46,11,0,11
2,0,16,0,0,0
14,10,42,10,0,14
6,0,14,6,0,0
13,11,23,13,1,13
2,8,16,8,0,2
10,9,40,10,1,10
0,11,27,11,0,0
13,9,23,9,1,13
2,10,16,10,1,10
6,8,14,6,0,8
0,14,27,14,0,0
6,10,14,10,0,6
11,14,46,14,0,11
8,13,55,8,0,8
0,6,27,6,1,0
2,9,48,9,1,2
11,13,46,11,1,11
8,10,55,8,0,8
9,0,52,0,0,0
14,8,42,8,0,14
2,6,48,6,0,2
0,10,27,0,0,0
9,13,52,13,0,13
6,11,14,11,0,6
14,2,42,2,0,14
8,0,55,8,0,8
11,9,46,9,0,11
10,13,40,10,1,10
11,2,46,2,0,11
8,6,55,8,0,8
14,0,42,14,1,0
10,11,40,11,1,11
9,6,52,6,0,6
2,13,16,2,1,13
9,8,52,9,0,8
10,14,40,10,1,14
6,13,21,6,1,6
11,0,46,11,1,11
8,14,55,14,0,8
13,10,23,10,1,10
0,2,27,0,0,0
6,9,21,6,1,9
8,11,55,11,1,8
10,2,18,2,1,10
14,11,42,14,0,14
10,8,18,8,1,10
13,0,23,0,1,13
9,2,52,9,0,9
14,6,42,6,0,14
0,8,16,0,0,0
11,14,16,14,0,11
8,11,14,11,0,8
0,8,14,8,0,8
8,6,50,6,0,6
2,13,49,13,1,13
0,10,50,0,0,10
14,11,50,11,1,11
13,8,13,13,1,13
6,2,13,6,0,2
11,10,49,10,1,10
0,2,50,0,0,0
10,14,49,14,1,10
11,0,13,11,1,0
13,6,49,13,1,6
14,2,13,14,0,14
0,8,13,8,0,0
11,13,50,11,1,11
6,10,50,6,1,10
2,8,49,8,0,2
14,0,49,14,0,0
10,13,13,10,1,10
6,11,50,11,0,11
8,14,13,8,1,14
0,6,21,0,0,0
8,10,55,10,0,8
2,11,16,11,1,11
13,14,23,13,1,13
11,6,44,6,1,11
2,0,16,0,1,0
8,13,55,13,1,8
2,6,16,2,0,6
10,0,2,0,1,10
11,14,44,11,1,14
13,10,23,13,1,10
2,14,16,14,1,14
8,0,55,0,1,0
10,6,2,6,1,6
13,11,23,13,0,11
14,8,42,14,0,8
0,11,21,11,0,0
13,2,23,2,1,13
14,10,42,10,1,10
6,8,2,6,1,6
11,2,44,2,1,11
0,13,21,0,0,13
14,6,42,14,0,6
11,8,44,8,0,8
2,10,16,10,1,10
14,13,42,13,0,14
6,0,14,6,1,6
10,8,40,8,1,8
6,13,14,13,1,6
0,14,21,14,1,14
8,2,55,2,1,8
10,11,40,11,1,10
13,0,23,0,1,0
6,14,14,6,1,6
10,2,40,10,1,10
8,11,55,8,1,8
10,6,14,10,1,6
0,8,5,0,1,0
0,10,55,0,1,10
6,10,23,6,1,6
6,8,14,6,1,6
0,2,27,2,1,0
10,11,30,10,1,11
0,14,27,0,0,0
6,13,14,13,1,13
2,11,16,11,1,11
8,10,55,8,1,10
13,14,23,14,1,14
11,8,44,8,0,11
10,2,30,10,0,2
14,11,11,11,1,11
8,0,55,8,0,0
14,2,11,2,0,2
10,6,30,6,1,6
11,0,44,0,0,11
13,8,23,13,1,8
2,6,16,6,1,6
11,10,44,10,1,10
14,6,11,6,1,14
13,0,23,13,1,0
2,8,16,8,1,2
11,13,44,13,1,13
8,14,55,8,0,8
0,10,27,0,0,0
2,13,16,13,1,13
10,14,40,10,1,14
0,6,27,6,1,0
6,0,14,6,1,6
2,10,16,2,1,2
8,11,55,11,1,8
13,6,23,13,1,13
14,0,42,0,1,14
10,8,40,8,0,8
11,2,5,2,1,11
0,13,27,0,0,0
6,14,14,14,1,6
8,2,55,2,0,8
13,10,23,10,1,13
6,2,14,6,0,6
11,14,5,11,1,14
0,8,27,0,0,8
6,10,14,10,0,6
2,14,48,14,0,14
8,13,55,13,0,13
0,11,27,0,0,0
14,10,42,14,0,14
2,0,48,0,0,2
10,13,40,13,1,10
8,6,55,6,1,8
14,13,42,14,0,13
10,0,40,10,0,0
11,6,5,11,0,11
14,8,42,14,0,8
0,8,55,8,0,8
13,11,30,13,0,13
0,13,21,0,1,0
8,0,14,0,1,8
8,12,55,8,0,12
6,2,14,6,1,6
10,3,38,3,1,3
13,14,23,14,1,13
6,8,14,8,1,8
3,12,45,12,0,3
2,10,16,2,1,2
14,6,42,14,0,6
8,3,55,3,1,3
10,12,38,12,0,10
13,2,23,2,1,2
14,8,42,14,1,14
10,6,38,6,1,6
8,13,55,8,1,8
3,14,45,14,1,14
12,13,30,12,1,13
2,8,16,8,1,2
14,10,42,14,1,14
3,13,45,13,0,3
12,6,30,6,1,6
10,8,38,10,1,8
14,12,42,12,1,12
2,3,16,2,1,3
8,6,55,8,1,8
12,3,30,3,1,3
2,6,16,6,1,2
14,13,42,13,1,14
3,10,45,3,1,10
12,8,30,8,1,8
13,6,23,6,1,6
3,2,45,2,1,2
6,10,14,10,1,6
2,12,16,12,1,12
14,3,42,14,1,14
13,12,23,13,1,13
10,2,38,2,1,10
8,14,11,8,1,14
6,3,14,3,1,3
10,13,38,10,1,13
12,14,11,14,0,14
13,8,23,8,1,8
14,2,42,2,1,2
8,10,11,8,0,10
13,3,23,3,1,13
6,12,14,12,0,6
10,14,38,10,0,14
8,2,11,2,1,8
6,13,14,13,1,13
12,2,11,12,1,12
13,10,23,10,1,13
3,6,17,3,1,3
2,14,48,2,1,2
12,10,11,10,0,12
3,8,17,3,1,3
6,14,14,14,1,6
2,13,48,13,1,13
3,13,23,13,1,13
14,6,16,6,1,14
3,14,16,14,1,14
13,14,23,14,0,14
14,13,42,13,1,14
12,8,30,12,1,12
3,6,45,6,1,6
10,12,20,10,1,10
13,2,25,13,0,13
14,3,42,14,1,14
8,6,55,8,1,8
10,13,20,13,0,10
12,2,30,12,1,2
8,14,55,8,1,8
6,10,14,6,1,6
13,8,23,8,1,8
3,12,45,3,1,3
6,14,14,14,1,6
2,10,16,2,0,2
8,3,55,8,1,8
13,12,23,13,1,12
2,6,16,2,0,6
14,10,42,10,1,14
3,13,45,3,1,13
14,2,42,14,0,14
10,8,20,8,1,8
6,3,14,3,1,3
8,2,55,2,1,8
12,14,30,12,1,12
